id_venta,id_pedido,id_cliente,nombre_cliente,correo_cliente,fecha_registro_cliente,canal_venta,categoria_producto,producto,cantidad,precio_unitario,subtotal_linea,tipo_pedido,con_reservacion,id_mesa,ubicacion_mesa,tipo_mesa,fecha_reservacion,estado_reservacion,fecha_pedido,hora_pedido,estado_pedido,metodo_pago,estado_pago,subtotal_pedido,impuestos,total_pedido,tiempo_entrega_min,calificacion_servicio,tipo_cliente,origen_ecommerce
20,1009,207,Michelle De la Cruz,michelle.delacruz207@correo.com,2025-11-29,Presencial (mostrador),Café caliente,Latte,1,52.87,52.87,para llevar,False,,,,,,2026-08-12,15:50:00,en preparación,efectivo,pagado,571.82,91.49,663.31,,,Frecuente,False
21,1009,207,Michelle De la Cruz,michelle.delacruz207@correo.com,2025-11-29,Presencial (mostrador),Repostería,Brownie,3,40.02,120.06,para llevar,False,,,,,,2026-08-12,15:50:00,en preparación,efectivo,pagado,571.82,91.49,663.31,,,Frecuente,False
22,1009,207,Michelle De la Cruz,michelle.delacruz207@correo.com,2025-11-29,Presencial (mostrador),Alimentos,Panini de jamón y queso,2,59.48,118.96,para llevar,False,,,,,,2026-08-12,15:50:00,en preparación,efectivo,pagado,571.82,91.49,663.31,,,Frecuente,False
23,1009,207,Michelle De la Cruz,michelle.delacruz207@correo.com,2025-11-29,Presencial (mostrador),Alimentos,Sandwich club,3,93.31,279.93,para llevar,False,,,,,,2026-08-12,15:50:00,en preparación,efectivo,pagado,571.82,91.49,663.31,,,Frecuente,False
24,1010,28,José Torres,josé.torres28@correo.com,2026-05-28,Presencial (mostrador),Alimentos,Ensalada César,1,82.29,82.29,para llevar,False,,,,,,2026-07-13,08:30:00,entregado,transferencia,pagado,82.29,13.17,95.46,18.0,5.0,VIP,False
25,1011,57,Hugo Martínez,hugo.martínez57@correo.com,2025-07-10,Página web,Café caliente,Americano,3,34.91,104.73,en el lugar,False,12.0,Zona de estudio,grupal,,,2025-08-18,15:50:00,cancelado,pago en línea,pendiente,162.54,26.01,188.55,,,VIP,True
26,1011,57,Hugo Martínez,hugo.martínez57@correo.com,2025-07-10,Página web,Café frío,Cold brew,1,57.81,57.81,en el lugar,False,12.0,Zona de estudio,grupal,,,2025-08-18,15:50:00,cancelado,pago en línea,pendiente,162.54,26.01,188.55,,,VIP,True
27,1012,79,Raúl Hernández,raúl.hernández79@correo.com,2025-07-03,Presencial (mostrador),Alimentos,Panini de jamón y queso,2,76.57,153.14,en el lugar,False,15.0,Zona de estudio,grupal,,,2025-10-01,19:50:00,entregado,tarjeta,pagado,153.14,24.5,177.64,30.0,4.0,VIP,False
28,1013,93,Iván Castillo,iván.castillo93@correo.com,2025-05-11,Página web,Bebidas frías,Jugo de naranja,2,30.14,60.28,para llevar,False,,,,,,2026-01-25,08:20:00,entregado,pago en línea,pagado,60.28,9.64,69.92,10.0,4.0,Frecuente,True
29,1014,71,Carlos Martínez,carlos.martínez71@correo.com,2026-03-10,Página web,Alimentos,Sandwich club,2,85.55,171.1,para llevar,False,,,,,,2026-07-03,19:45:00,entregado,pago en línea,pagado,171.1,27.38,198.48,13.0,1.0,Frecuente,True
30,1015,159,Paola López,paola.lópez159@correo.com,2026-07-31,Página web,Repostería,Dona glaseada,3,45.93,137.79,en el lugar,False,17.0,Salón principal,pareja,,,2026-08-16,17:10:00,entregado,pago en línea,pagado,363.73,58.2,421.93,17.0,5.0,VIP,True
31,1015,159,Paola López,paola.lópez159@correo.com,2026-07-31,Página web,Bebidas calientes,Té verde,3,26.32,78.96,en el lugar,False,17.0,Salón principal,pareja,,,2026-08-16,17:10:00,entregado,pago en línea,pagado,363.73,58.2,421.93,17.0,5.0,VIP,True
32,1015,159,Paola López,paola.lópez159@correo.com,2026-07-31,Página web,Café caliente,Café de olla,1,46.32,46.32,en el lugar,False,17.0,Salón principal,pareja,,,2026-08-16,17:10:00,entregado,pago en línea,pagado,363.73,58.2,421.93,17.0,5.0,VIP,True
33,1015,159,Paola López,paola.lópez159@correo.com,2026-07-31,Página web,Repostería,Muffin de arándano,2,50.33,100.66,en el lugar,False,17.0,Salón principal,pareja,,,2026-08-16,17:10:00,entregado,pago en línea,pagado,363.73,58.2,421.93,17.0,5.0,VIP,True
34,1016,136,Andrea Hernández,andrea.hernández136@correo.com,2026-03-07,Presencial (mostrador),Bebidas frías,Refresco de cola,2,32.87,65.74,para llevar,False,,,,,,2026-06-04,11:50:00,entregado,efectivo,pagado,286.93,45.91,332.84,27.0,5.0,VIP,False
35,1016,136,Andrea Hernández,andrea.hernández136@correo.com,2026-03-07,Presencial (mostrador),Repostería,Croissant,3,48.45,145.35,para llevar,False,,,,,,2026-06-04,11:50:00,entregado,efectivo,pagado,286.93,45.91,332.84,27.0,5.0,VIP,False
36,1016,136,Andrea Hernández,andrea.hernández136@correo.com,2026-03-07,Presencial (mostrador),Bebidas calientes,Té chai,2,37.92,75.84,para llevar,False,,,,,,2026-06-04,11:50:00,entregado,efectivo,pagado,286.93,45.91,332.84,27.0,5.0,VIP,False
37,1017,149,Alejandro Ramírez,alejandro.ramírez149@correo.com,2025-05-04,Presencial (mesero),Café caliente,Capuchino,3,50.8,152.4,para llevar,False,,,,,,2025-08-04,10:25:00,entregado,efectivo,pagado,298.83,47.81,346.64,29.0,5.0,Frecuente,False
38,1017,149,Alejandro Ramírez,alejandro.ramírez149@correo.com,2025-05-04,Presencial (mesero),Café caliente,Café de olla,3,48.81,146.43,para llevar,False,,,,,,2025-08-04,10:25:00,entregado,efectivo,pagado,298.83,47.81,346.64,29.0,5.0,Frecuente,False
39,1018,136,Andrea Hernández,andrea.hernández136@correo.com,2026-03-07,Página web,Bebidas calientes,Infusión de manzanilla,2,25.87,51.74,para llevar,False,,,,,,2026-08-12,09:45:00,listo,pago en línea,pagado,202.31,32.37,234.68,26.0,,VIP,True
40,1018,136,Andrea Hernández,andrea.hernández136@correo.com,2026-03-07,Página web,Repostería,Dona glaseada,3,50.19,150.57,para llevar,False,,,,,,2026-08-12,09:45:00,listo,pago en línea,pagado,202.31,32.37,234.68,26.0,,VIP,True
41,1019,71,Carlos Martínez,carlos.martínez71@correo.com,2026-03-10,Página web,Alimentos,Panini de jamón y queso,2,93.31,186.62,en el lugar,False,7.0,Zona de estudio,grupal,,,2026-07-02,10:40:00,en preparación,tarjeta,pagado,411.17,65.79,476.96,,,Frecuente,True
42,1019,71,Carlos Martínez,carlos.martínez71@correo.com,2026-03-10,Página web,Café frío,Cold brew,3,61.19,183.57,en el lugar,False,7.0,Zona de estudio,grupal,,,2026-07-02,10:40:00,en preparación,tarjeta,pagado,411.17,65.79,476.96,,,Frecuente,True
43,1019,71,Carlos Martínez,carlos.martínez71@correo.com,2026-03-10,Página web,Café caliente,Mocaccino,1,40.98,40.98,en el lugar,False,7.0,Zona de estudio,grupal,,,2026-07-02,10:40:00,en preparación,tarjeta,pagado,411.17,65.79,476.96,,,Frecuente,True
44,1020,246,José Díaz,josé.díaz246@correo.com,2025-09-01,Página web,Café caliente,Latte,2,29.44,58.88,en el lugar,True,17.0,Salón principal,pareja,2026-05-23,no_show,2026-05-23,20:05:00,entregado,pago en línea,pagado,185.78,29.72,215.5,17.0,4.0,Frecuente,True
45,1020,246,José Díaz,josé.díaz246@correo.com,2025-09-01,Página web,Bebidas frías,Agua mineral,1,24.72,24.72,en el lugar,True,17.0,Salón principal,pareja,2026-05-23,no_show,2026-05-23,20:05:00,entregado,pago en línea,pagado,185.78,29.72,215.5,17.0,4.0,Frecuente,True
46,1020,246,José Díaz,josé.díaz246@correo.com,2025-09-01,Página web,Café caliente,Capuchino,3,34.06,102.18,en el lugar,True,17.0,Salón principal,pareja,2026-05-23,no_show,2026-05-23,20:05:00,entregado,pago en línea,pagado,185.78,29.72,215.5,17.0,4.0,Frecuente,True
47,1021,85,Renata Díaz,renata.díaz85@correo.com,2026-06-06,Presencial (mesero),Alimentos,Sandwich club,1,90.29,90.29,para llevar,False,,,,,,2026-06-23,07:20:00,listo,transferencia,pagado,307.41,49.19,356.6,37.0,,VIP,False
48,1021,85,Renata Díaz,renata.díaz85@correo.com,2026-06-06,Presencial (mesero),Café caliente,Capuchino,1,33.82,33.82,para llevar,False,,,,,,2026-06-23,07:20:00,listo,transferencia,pagado,307.41,49.19,356.6,37.0,,VIP,False
49,1021,85,Renata Díaz,renata.díaz85@correo.com,2026-06-06,Presencial (mesero),Café frío,Frappuccino de caramelo,2,38.34,76.68,para llevar,False,,,,,,2026-06-23,07:20:00,listo,transferencia,pagado,307.41,49.19,356.6,37.0,,VIP,False
50,1021,85,Renata Díaz,renata.díaz85@correo.com,2026-06-06,Presencial (mesero),Repostería,Croissant,3,35.54,106.62,para llevar,False,,,,,,2026-06-23,07:20:00,listo,transferencia,pagado,307.41,49.19,356.6,37.0,,VIP,False
51,1022,120,Andrea Reyes,andrea.reyes120@correo.com,2025-06-19,Presencial (mostrador),Repostería,Pay de queso,1,25.05,25.05,para llevar,False,,,,,,2025-07-21,08:35:00,entregado,efectivo,pagado,159.96,25.59,185.55,41.0,4.0,Frecuente,False
52,1022,120,Andrea Reyes,andrea.reyes120@correo.com,2025-06-19,Presencial (mostrador),Repostería,Croissant,3,44.97,134.91,para llevar,False,,,,,,2025-07-21,08:35:00,entregado,efectivo,pagado,159.96,25.59,185.55,41.0,4.0,Frecuente,False
53,1023,127,Diego Martínez,diego.martínez127@correo.com,2025-02-11,Presencial (mostrador),Repostería,Dona glaseada,3,25.57,76.71,en el lugar,False,1.0,Barra,pareja,,,2026-02-15,08:40:00,entregado,tarjeta,pagado,186.16,29.79,215.95,42.0,5.0,Frecuente,False
54,1023,127,Diego Martínez,diego.martínez127@correo.com,2025-02-11,Presencial (mostrador),Café caliente,Capuchino,2,34.51,69.02,en el lugar,False,1.0,Barra,pareja,,,2026-02-15,08:40:00,entregado,tarjeta,pagado,186.16,29.79,215.95,42.0,5.0,Frecuente,False
55,1023,127,Diego Martínez,diego.martínez127@correo.com,2025-02-11,Presencial (mostrador),Bebidas calientes,Té chai,1,40.43,40.43,en el lugar,False,1.0,Barra,pareja,,,2026-02-15,08:40:00,entregado,tarjeta,pagado,186.16,29.79,215.95,42.0,5.0,Frecuente,False
56,1024,105,Lucía De la Cruz,lucía.delacruz105@correo.com,2026-07-25,Página web,Café caliente,Americano,3,51.92,155.76,en el lugar,True,16.0,Salón principal,individual,2026-08-04,completada,2026-08-04,20:50:00,en preparación,pago en línea,pagado,241.84,38.69,280.53,,,Frecuente,True
57,1024,105,Lucía De la Cruz,lucía.delacruz105@correo.com,2026-07-25,Página web,Repostería,Muffin de arándano,2,43.04,86.08,en el lugar,True,16.0,Salón principal,individual,2026-08-04,completada,2026-08-04,20:50:00,en preparación,pago en línea,pagado,241.84,38.69,280.53,,,Frecuente,True
58,1025,201,Paola Morales,paola.morales201@correo.com,2025-06-08,Página web,Café caliente,Capuchino,2,39.8,79.6,para llevar,False,,,,,,2025-10-15,07:50:00,listo,tarjeta,pagado,536.17,85.79,621.96,31.0,,Frecuente,True
59,1025,201,Paola Morales,paola.morales201@correo.com,2025-06-08,Página web,Alimentos,Panini de jamón y queso,3,89.73,269.19,para llevar,False,,,,,,2025-10-15,07:50:00,listo,tarjeta,pagado,536.17,85.79,621.96,31.0,,Frecuente,True
60,1025,201,Paola Morales,paola.morales201@correo.com,2025-06-08,Página web,Alimentos,Ensalada César,2,93.69,187.38,para llevar,False,,,,,,2025-10-15,07:50:00,listo,tarjeta,pagado,536.17,85.79,621.96,31.0,,Frecuente,True
61,1026,40,José Martínez,josé.martínez40@correo.com,2025-03-02,Presencial (mostrador),Repostería,Concha,2,27.8,55.6,para llevar,False,,,,,,2026-08-15,11:05:00,entregado,efectivo,pagado,164.52,26.32,190.84,30.0,5.0,Frecuente,False
62,1026,40,José Martínez,josé.martínez40@correo.com,2025-03-02,Presencial (mostrador),Bebidas calientes,Té verde,2,31.13,62.26,para llevar,False,,,,,,2026-08-15,11:05:00,entregado,efectivo,pagado,164.52,26.32,190.84,30.0,5.0,Frecuente,False
63,1026,40,José Martínez,josé.martínez40@correo.com,2025-03-02,Presencial (mostrador),Bebidas frías,Refresco de cola,2,23.33,46.66,para llevar,False,,,,,,2026-08-15,11:05:00,entregado,efectivo,pagado,164.52,26.32,190.84,30.0,5.0,Frecuente,False
64,1027,43,Marco Ramírez,marco.ramírez43@correo.com,2026-04-30,Página web,Café caliente,Americano,2,29.82,59.64,en el lugar,True,13.0,Zona de estudio,grupal,2026-07-16,pendiente,2026-07-17,13:20:00,entregado,pago en línea,pagado,288.16,46.11,334.27,31.0,5.0,VIP,True
65,1027,43,Marco Ramírez,marco.ramírez43@correo.com,2026-04-30,Página web,Bebidas calientes,Té verde,2,32.24,64.48,en el lugar,True,13.0,Zona de estudio,grupal,2026-07-16,pendiente,2026-07-17,13:20:00,entregado,pago en línea,pagado,288.16,46.11,334.27,31.0,5.0,VIP,True
66,1027,43,Marco Ramírez,marco.ramírez43@correo.com,2026-04-30,Página web,Bebidas frías,Té helado,1,32.1,32.1,en el lugar,True,13.0,Zona de estudio,grupal,2026-07-16,pendiente,2026-07-17,13:20:00,entregado,pago en línea,pagado,288.16,46.11,334.27,31.0,5.0,VIP,True
67,1027,43,Marco Ramírez,marco.ramírez43@correo.com,2026-04-30,Página web,Bebidas calientes,Infusión de manzanilla,3,43.98,131.94,en el lugar,True,13.0,Zona de estudio,grupal,2026-07-16,pendiente,2026-07-17,13:20:00,entregado,pago en línea,pagado,288.16,46.11,334.27,31.0,5.0,VIP,True
68,1028,184,Renata Castillo,renata.castillo184@correo.com,2025-05-15,Página web,Café frío,Café helado,3,55.82,167.46,en el lugar,True,6.0,Barra,grupal,2025-12-01,no_show,2025-12-04,12:50:00,entregado,pago en línea,pagado,457.6,73.22,530.82,43.0,4.0,VIP,True
69,1028,184,Renata Castillo,renata.castillo184@correo.com,2025-05-15,Página web,Alimentos,Bagel con queso crema,2,51.13,102.26,en el lugar,True,6.0,Barra,grupal,2025-12-01,no_show,2025-12-04,12:50:00,entregado,pago en línea,pagado,457.6,73.22,530.82,43.0,4.0,VIP,True
70,1028,184,Renata Castillo,renata.castillo184@correo.com,2025-05-15,Página web,Café caliente,Latte,3,32.66,97.98,en el lugar,True,6.0,Barra,grupal,2025-12-01,no_show,2025-12-04,12:50:00,entregado,pago en línea,pagado,457.6,73.22,530.82,43.0,4.0,VIP,True
71,1028,184,Renata Castillo,renata.castillo184@correo.com,2025-05-15,Página web,Bebidas calientes,Infusión de manzanilla,2,44.95,89.9,en el lugar,True,6.0,Barra,grupal,2025-12-01,no_show,2025-12-04,12:50:00,entregado,pago en línea,pagado,457.6,73.22,530.82,43.0,4.0,VIP,True
72,1029,163,Carlos Romero,carlos.romero163@correo.com,2025-04-12,Presencial (mesero),Café frío,Frappuccino de caramelo,3,35.79,107.37,en el lugar,False,6.0,Zona de estudio,grupal,,,2026-01-14,11:20:00,entregado,efectivo,pagado,134.75,21.56,156.31,13.0,4.0,Frecuente,False
73,1029,163,Carlos Romero,carlos.romero163@correo.com,2025-04-12,Presencial (mesero),Bebidas frías,Jugo de naranja,1,27.38,27.38,en el lugar,False,6.0,Zona de estudio,grupal,,,2026-01-14,11:20:00,entregado,efectivo,pagado,134.75,21.56,156.31,13.0,4.0,Frecuente,False
74,1030,77,María Díaz,maría.díaz77@correo.com,2026-07-28,Presencial (mesero),Alimentos,Ensalada César,2,51.42,102.84,en el lugar,False,14.0,Terraza,individual,,,2026-07-30,11:30:00,cancelado,transferencia,pendiente,260.55,41.69,302.24,,,VIP,False
75,1030,77,María Díaz,maría.díaz77@correo.com,2026-07-28,Presencial (mesero),Bebidas frías,Jugo de naranja,1,23.64,23.64,en el lugar,False,14.0,Terraza,individual,,,2026-07-30,11:30:00,cancelado,transferencia,pendiente,260.55,41.69,302.24,,,VIP,False
76,1030,77,María Díaz,maría.díaz77@correo.com,2026-07-28,Presencial (mesero),Café frío,Frappuccino de caramelo,1,50.09,50.09,en el lugar,False,14.0,Terraza,individual,,,2026-07-30,11:30:00,cancelado,transferencia,pendiente,260.55,41.69,302.24,,,VIP,False
77,1030,77,María Díaz,maría.díaz77@correo.com,2026-07-28,Presencial (mesero),Café caliente,Espresso,2,41.99,83.98,en el lugar,False,14.0,Terraza,individual,,,2026-07-30,11:30:00,cancelado,transferencia,pendiente,260.55,41.69,302.24,,,VIP,False
78,1031,29,María Flores,maría.flores29@correo.com,2026-06-04,Presencial (mesero),Bebidas frías,Jugo de naranja,3,23.08,69.24,en el lugar,True,18.0,Zona de estudio,individual,2026-06-30,completada,2026-07-02,12:40:00,entregado,transferencia,pagado,111.09,17.77,128.86,9.0,3.0,Frecuente,False
79,1031,29,María Flores,maría.flores29@correo.com,2026-06-04,Presencial (mesero),Bebidas calientes,Té verde,1,41.85,41.85,en el lugar,True,18.0,Zona de estudio,individual,2026-06-30,completada,2026-07-02,12:40:00,entregado,transferencia,pagado,111.09,17.77,128.86,9.0,3.0,Frecuente,False
80,1032,85,Renata Díaz,renata.díaz85@correo.com,2026-06-06,Presencial (mostrador),Bebidas frías,Té helado,1,29.96,29.96,para llevar,False,,,,,,2026-06-16,07:50:00,entregado,transferencia,pagado,208.0,33.28,241.28,38.0,5.0,VIP,False
81,1032,85,Renata Díaz,renata.díaz85@correo.com,2026-06-06,Presencial (mostrador),Bebidas calientes,Té verde,3,37.84,113.52,para llevar,False,,,,,,2026-06-16,07:50:00,entregado,transferencia,pagado,208.0,33.28,241.28,38.0,5.0,VIP,False
82,1032,85,Renata Díaz,renata.díaz85@correo.com,2026-06-06,Presencial (mostrador),Repostería,Pay de queso,1,33.57,33.57,para llevar,False,,,,,,2026-06-16,07:50:00,entregado,transferencia,pagado,208.0,33.28,241.28,38.0,5.0,VIP,False
83,1032,85,Renata Díaz,renata.díaz85@correo.com,2026-06-06,Presencial (mostrador),Bebidas calientes,Infusión de manzanilla,1,30.95,30.95,para llevar,False,,,,,,2026-06-16,07:50:00,entregado,transferencia,pagado,208.0,33.28,241.28,38.0,5.0,VIP,False
84,1033,32,Camila Ramírez,camila.ramírez32@correo.com,2025-03-01,Página web,Alimentos,Bagel con queso crema,2,83.03,166.06,para llevar,False,,,,,,2026-06-19,10:25:00,listo,pago en línea,pagado,226.86,36.3,263.16,14.0,,VIP,True
85,1033,32,Camila Ramírez,camila.ramírez32@correo.com,2025-03-01,Página web,Bebidas frías,Jugo de naranja,1,22.12,22.12,para llevar,False,,,,,,2026-06-19,10:25:00,listo,pago en línea,pagado,226.86,36.3,263.16,14.0,,VIP,True
86,1033,32,Camila Ramírez,camila.ramírez32@correo.com,2025-03-01,Página web,Café frío,Frappuccino de caramelo,1,38.68,38.68,para llevar,False,,,,,,2026-06-19,10:25:00,listo,pago en línea,pagado,226.86,36.3,263.16,14.0,,VIP,True
87,1034,237,Valeria Cruz,valeria.cruz237@correo.com,2026-04-01,Presencial (mesero),Café frío,Cold brew,2,49.95,99.9,para llevar,False,,,,,,2026-04-13,11:30:00,cancelado,efectivo,reembolsado,241.46,38.63,280.09,,,Frecuente,False
88,1034,237,Valeria Cruz,valeria.cruz237@correo.com,2026-04-01,Presencial (mesero),Bebidas frías,Refresco de cola,3,29.98,89.94,para llevar,False,,,,,,2026-04-13,11:30:00,cancelado,efectivo,reembolsado,241.46,38.63,280.09,,,Frecuente,False
89,1034,237,Valeria Cruz,valeria.cruz237@correo.com,2026-04-01,Presencial (mesero),Repostería,Pay de queso,2,25.81,51.62,para llevar,False,,,,,,2026-04-13,11:30:00,cancelado,efectivo,reembolsado,241.46,38.63,280.09,,,Frecuente,False
90,1035,132,Camila Vázquez,camila.vázquez132@correo.com,2026-01-20,Página web,Repostería,Brownie,1,25.29,25.29,para llevar,False,,,,,,2026-03-22,10:45:00,entregado,transferencia,pagado,280.81,44.93,325.74,26.0,5.0,Frecuente,True
91,1035,132,Camila Vázquez,camila.vázquez132@correo.com,2026-01-20,Página web,Café caliente,Latte,3,31.62,94.86,para llevar,False,,,,,,2026-03-22,10:45:00,entregado,transferencia,pagado,280.81,44.93,325.74,26.0,5.0,Frecuente,True
92,1035,132,Camila Vázquez,camila.vázquez132@correo.com,2026-01-20,Página web,Repostería,Dona glaseada,3,37.8,113.4,para llevar,False,,,,,,2026-03-22,10:45:00,entregado,transferencia,pagado,280.81,44.93,325.74,26.0,5.0,Frecuente,True
93,1035,132,Camila Vázquez,camila.vázquez132@correo.com,2026-01-20,Página web,Alimentos,Ensalada César,1,47.26,47.26,para llevar,False,,,,,,2026-03-22,10:45:00,entregado,transferencia,pagado,280.81,44.93,325.74,26.0,5.0,Frecuente,True
94,1036,143,Estefanía Sánchez,estefanía.sánchez143@correo.com,2025-03-29,Presencial (mostrador),Bebidas frías,Agua mineral,2,35.1,70.2,en el lugar,False,20.0,Terraza,individual,,,2025-05-05,13:40:00,cancelado,tarjeta,reembolsado,265.3,42.45,307.75,,,VIP,False
95,1036,143,Estefanía Sánchez,estefanía.sánchez143@correo.com,2025-03-29,Presencial (mostrador),Café frío,Frappuccino de caramelo,2,50.0,100.0,en el lugar,False,20.0,Terraza,individual,,,2025-05-05,13:40:00,cancelado,tarjeta,reembolsado,265.3,42.45,307.75,,,VIP,False
96,1036,143,Estefanía Sánchez,estefanía.sánchez143@correo.com,2025-03-29,Presencial (mostrador),Café caliente,Espresso,3,31.7,95.1,en el lugar,False,20.0,Terraza,individual,,,2025-05-05,13:40:00,cancelado,tarjeta,reembolsado,265.3,42.45,307.75,,,VIP,False
97,1037,236,Raúl Torres,raúl.torres236@correo.com,2025-02-03,Presencial (mesero),Alimentos,Ensalada César,3,74.69,224.07,para llevar,False,,,,,,2026-05-16,09:45:00,en preparación,tarjeta,pagado,316.02,50.56,366.58,,,VIP,False
98,1037,236,Raúl Torres,raúl.torres236@correo.com,2025-02-03,Presencial (mesero),Bebidas frías,Jugo de naranja,3,30.65,91.95,para llevar,False,,,,,,2026-05-16,09:45:00,en preparación,tarjeta,pagado,316.02,50.56,366.58,,,VIP,False
